Date,Open,High,Low,Close,Adj Close,Volume
10-08-2016,31340000000,31400000000,30680000000,30820000000,26201232422,12340350
11-08-2016,30820000000,31180000000,30520000000,31180000000,26507281250,10533600
12-08-2016,31180000000,31400000000,30880000000,30900000000,26269246094,10474850
16-08-2016,30900000000,31520000000,30900000000,31360000000,26660300781,10843100
17-08-2016,31380000000,31400000000,31020000000,31320000000,26626300781,7446450
18-08-2016,31340000000,32880000000,31320000000,32800000000,27884507813,18327050
19-08-2016,32760000000,33500000000,32720000000,33500000000,28479599609,16805150
22-08-2016,33480000000,33840000000,33180000000,33300000000,28309568359,12612200
23-08-2016,33300000000,33880000000,33140000000,33740000000,28683632813,11545700
24-08-2016,33600000000,33640000000,32720000000,33060000000,28105539063,15938550
25-08-2016,32600000000,33180000000,32440000000,32780000000,27867498047,14173800
26-08-2016,32120000000,32460000000,32060000000,32240000000,27408425781,12058000
29-08-2016,32040000000,32800000000,31940000000,32800000000,27884507813,8925750
30-08-2016,32940000000,33420000000,32660000000,32900000000,27969517578,7849600
31-08-2016,32820000000,32820000000,32220000000,32400000000,27544451172,20532200
01-09-2016,31660000000,31760000000,31260000000,31740000000,26983357422,18790150
02-09-2016,31900000000,32260000000,31760000000,31940000000,27153380859,8153000
05-09-2016,31800000000,32300000000,31700000000,32120000000,27306408203,8383800
06-09-2016,32140000000,32900000000,31940000000,32860000000,27935511719,7660150
07-09-2016,32960000000,33040000000,32420000000,32420000000,27561451172,9591850
08-09-2016,32460000000,32780000000,32280000000,32780000000,27867498047,12070850
09-09-2016,32220000000,32360000000,31280000000,31500000000,26779326172,13258400
12-09-2016,29800000000,30120000000,29120000000,29300000000,24909023438,26499350
13-09-2016,30160000000,30980000000,29900000000,30540000000,25963193359,24717250
19-09-2016,30760000000,31380000000,30720000000,31160000000,26490273438,22408150
20-09-2016,31180000000,31760000000,31180000000,31700000000,26949355469,12921150
21-09-2016,31900000000,32020000000,31520000000,31840000000,27068371094,10509050
22-09-2016,32000000000,32820000000,31980000000,32360000000,27510441406,11429950
23-09-2016,31640000000,31960000000,31320000000,31420000000,26711308594,18299650
26-09-2016,31420000000,31920000000,31280000000,31360000000,26660300781,14524800
27-09-2016,31000000000,31500000000,30660000000,31380000000,26677304688,9834400
28-09-2016,31080000000,31460000000,31080000000,31340000000,26643304688,8706400
29-09-2016,31460000000,32380000000,31440000000,32000000000,27204394531,11397550
30-09-2016,31800000000,32300000000,31700000000,31960000000,27170386719,11762700
04-10-2016,32200000000,32480000000,32120000000,32280000000,27442439453,13053100
05-10-2016,32020000000,32520000000,31940000000,32380000000,27527441406,12470450
06-10-2016,33920000000,34000000000,33340000000,33820000000,28751646484,29558150
07-10-2016,34000000000,34320000000,33800000000,34120000000,29006685547,26050550
10-10-2016,33000000000,33780000000,32560000000,33600000000,28564609375,25293300
11-10-2016,32000000000,32500000000,30900000000,30900000000,26269246094,38427150
12-10-2016,29900000000,30900000000,29880000000,30700000000,26099214844,39088550
13-10-2016,31000000000,31620000000,30900000000,31140000000,26473271484,21864550
14-10-2016,30960000000,31760000000,30940000000,31540000000,26813330078,14158950
17-10-2016,31300000000,32040000000,30760000000,31800000000,27034365234,12785200
18-10-2016,31440000000,31900000000,31440000000,31780000000,27017361328,10384500
19-10-2016,31580000000,32860000000,31500000000,32500000000,27629460938,15444550
20-10-2016,32520000000,33020000000,32180000000,32400000000,27544451172,10330450
21-10-2016,32120000000,32260000000,31760000000,31780000000,27017361328,10477500
24-10-2016,31860000000,32160000000,31800000000,32160000000,27340416016,9289950
25-10-2016,32000000000,32080000000,31840000000,31940000000,27153380859,9866100
26-10-2016,31940000000,31980000000,31240000000,31340000000,26643304688,10534000
27-10-2016,31420000000,32340000000,31120000000,31460000000,26745320313,14117000
28-10-2016,31600000000,32280000000,31600000000,32280000000,27442439453,10214200
31-10-2016,32320000000,32780000000,32220000000,32780000000,27867498047,12067200
01-11-2016,32600000000,33040000000,32240000000,33040000000,28088531250,10347400
02-11-2016,32800000000,33040000000,32620000000,32860000000,27935511719,10099250
03-11-2016,32600000000,32800000000,32120000000,32320000000,27476431641,10341850
04-11-2016,32100000000,32680000000,32100000000,32540000000,27663466797,7103850
07-11-2016,32940000000,33000000000,32680000000,32800000000,27884507813,7661900
08-11-2016,32980000000,32980000000,32700000000,32880000000,27952511719,5417450
09-11-2016,32920000000,33140000000,31820000000,31920000000,27136382813,15683600
10-11-2016,32600000000,33000000000,32360000000,32980000000,28037525391,11795350
11-11-2016,31700000000,32360000000,31700000000,31960000000,27170386719,12836800
14-11-2016,31900000000,31920000000,31040000000,31060000000,26405263672,15133300
15-11-2016,31060000000,31620000000,30780000000,30780000000,26167226563,13665700
16-11-2016,30800000000,31280000000,30800000000,31160000000,26490273438,13308200
17-11-2016,31100000000,31520000000,30900000000,31360000000,26660300781,7870550
18-11-2016,31640000000,31760000000,31400000000,31720000000,26966357422,9460750
21-11-2016,31300000000,32120000000,31300000000,31860000000,27085373047,8180200
22-11-2016,32140000000,32900000000,32000000000,32800000000,27884507813,9751100
23-11-2016,33220000000,33220000000,32520000000,32980000000,28037525391,12668600
24-11-2016,32980000000,33040000000,32660000000,33000000000,28054533203,7757150
25-11-2016,32820000000,33040000000,32660000000,33000000000,28054533203,6276900
28-11-2016,33000000000,33620000000,32800000000,33540000000,28513601563,13294050
29-11-2016,33800000000,33960000000,33380000000,33540000000,28513601563,18081300
30-11-2016,33540000000,34940000000,33540000000,34920000000,29686792969,28535200
01-12-2016,34800000000,35060000000,34660000000,34980000000,29737804688,15535350
02-12-2016,34480000000,34760000000,34140000000,34540000000,29363736328,15352950
05-12-2016,34340000000,34680000000,34220000000,34360000000,29210718750,8484600
06-12-2016,34440000000,35200000000,34400000000,34960000000,29720798828,14001800
07-12-2016,35040000000,35480000000,35040000000,35440000000,30128863281,9603650
08-12-2016,35980000000,36020000000,35520000000,35800000000,30434912109,16462550
09-12-2016,35900000000,35900000000,35400000000,35600000000,30264884766,10652450
12-12-2016,34660000000,35360000000,34660000000,35040000000,29788814453,11414450
13-12-2016,34620000000,35440000000,34620000000,35320000000,30026843750,11684450
14-12-2016,35560000000,35680000000,35280000000,35540000000,30213876953,7455100
15-12-2016,34820000000,35500000000,34820000000,35180000000,29907828125,5773550
16-12-2016,35300000000,36020000000,35200000000,35860000000,30485927734,11747700
19-12-2016,35620000000,36380000000,35620000000,35900000000,30519929688,5435800
20-12-2016,35920000000,36400000000,35840000000,36240000000,30808970703,7615200
21-12-2016,36360000000,36600000000,36020000000,36100000000,30689955078,6552100
22-12-2016,36260000000,36300000000,35980000000,36180000000,30757962891,6354600
23-12-2016,36020000000,36080000000,35600000000,35640000000,30298892578,8334850
26-12-2016,35600000000,36000000000,35560000000,35960000000,30570925781,4823600
27-12-2016,35980000000,36200000000,35860000000,35980000000,30587937500,4653450
28-12-2016,35840000000,35980000000,35600000000,35760000000,30872841797,6662900
29-12-2016,35420000000,36040000000,35400000000,36040000000,31114574219,7516450
02-01-2017,35980000000,36240000000,35880000000,36100000000,31166375000,4650600
03-01-2017,36280000000,36620000000,36020000000,36480000000,31494437500,7357650
